T,Smoothed_Pro
3091,1.063752748208814e-06
3092,1.0635166493468829e-06
3093,1.0632808329194316e-06
3094,1.0630452995542045e-06
3095,1.0628100498782363e-06
3096,1.0625750845178518e-06
3097,1.0623404040986652e-06
3098,1.0621060092455814e-06
3099,1.0618719005827947e-06
3100,1.0616380787337895e-06
3101,1.0614045443213042e-06
3102,1.0611712979672297e-06
3103,1.0609383402925932e-06
3104,1.0607056719175582e-06
3105,1.0604732934614244e-06
3106,1.0602412055426276e-06
3107,1.06000940877874e-06
3108,1.059777903786469e-06
3109,1.059546691181659e-06
3110,1.0593157715792904e-06
3111,1.0590851455934793e-06
3112,1.0588548138374782e-06
3113,1.0586247769236763e-06
3114,1.0583950354635976e-06
3115,1.0581655900679037e-06
3116,1.0579364413463912e-06
3117,1.0577075899079939e-06
3118,1.0574790363607801e-06
3119,1.0572507813119562e-06
3120,1.0570228253678631e-06
3121,1.0567951691339787e-06
3122,1.056567813214917e-06
3123,1.0563407582144279e-06
3124,1.0561140047353977e-06
3125,1.055887553379848e-06
3126,1.0556614047489377e-06
3127,1.0554355594429612e-06
3128,1.0552100180613487e-06
3129,1.0549847812026677e-06
3130,1.0547598494646204e-06
3131,1.054535223444046e-06
3132,1.0543109037369198e-06
3133,1.054086890938353e-06
3134,1.0538631856425928e-06
3135,1.0536397884430233e-06
3136,1.0534166999321632e-06
3137,1.0531939207016693e-06
3138,1.0529714513423326e-06
3139,1.0527492924440818e-06
3140,1.0525274445959812e-06
3141,1.0523059083862308e-06
3142,1.0520846844021668e-06
3143,1.0518637732302621e-06
3144,1.0516431754561254e-06
3145,1.0514228916645013e-06
3146,1.0512029224392713e-06
3147,1.050983268363452e-06
3148,1.0507639300191965e-06
3149,1.0505449079877947e-06
3150,1.0503262028496718e-06
3151,1.0501078151843895e-06
3152,1.0498897455706455e-06
3153,1.0496719945862734e-06
3154,1.0494545628082435e-06
3155,1.0492374508126624e-06
3156,1.0490206591747714e-06
3157,1.0488041884689496e-06
3158,1.0485880392687114e-06
3159,1.0483722121467074e-06
3160,1.0481567076747246e-06
3161,1.0479415264236853e-06
3162,1.0477266689636492e-06
3163,1.0475121358638114e-06
3164,1.047297927692503e-06
3165,1.0470840450171915e-06
3166,1.0468704884044807e-06
3167,1.04665725842011e-06
3168,1.0464443556289553e-06
3169,1.046231780595029e-06
3170,1.0460195338814786e-06
3171,1.0458076160505885e-06
3172,1.0455960276637794e-06
3173,1.0453847692816074e-06
3174,1.0451738414637652e-06
3175,1.0449632447690818e-06
3176,1.044752979755522e-06
3177,1.0445430469801867e-06
3178,1.0443334469993128e-06
3179,1.0441241803682742e-06
3180,1.0439152476415798e-06
3181,1.0437066493728755e-06
3182,1.043498386114943e-06
3183,1.0432904584196993e-06
3184,1.0430828668381991e-06
3185,1.0428756119206324e-06
3186,1.0426686942163256e-06
3187,1.0424621142737403e-06
3188,1.0422558726404755e-06
3189,1.0420499698632657e-06
3190,1.0418444064879815e-06
3191,1.04163918305963e-06
3192,1.0414343001223535e-06
3193,1.041229758219432e-06
3194,1.0410255578932804e-06
3195,1.0408216996854499e-06
3196,1.0406181841366278e-06
3197,1.0404150117866386e-06
3198,1.0402121831744412e-06
3199,1.0400096988381317e-06
3200,1.0398075593149423e-06
3201,1.0396057651412413e-06
3202,1.0394043168525325e-06
3203,1.0392032149834569e-06
3204,1.0390024600677903e-06
3205,1.038802052638446e-06
3206,1.0386019932274728e-06
3207,1.0384022823660551e-06
3208,1.0382029205845144e-06
3209,1.038003908412308e-06
3210,1.0378052463780291e-06
3211,1.0376069350094068e-06
3212,1.0374089748333074e-06
3213,1.0372113663757319e-06
3214,1.0370141101618184e-06
3215,1.036817206715841e-06
3216,1.0366206565612099e-06
3217,1.0364244602204712e-06
3218,1.0362286182153073e-06
3219,1.0360331310665367e-06
3220,1.0358379992941138e-06
3221,1.0356432234171297e-06
3222,1.0354488039538116e-06
3223,1.0352547414215218e-06
3224,1.0350610363367597e-06
3225,1.0348676892151608e-06
3226,1.0346747005714965e-06
3227,1.034482070919674e-06
3228,1.0342898007727374e-06
3229,1.0340978906428662e-06
3230,1.0339063410413767e-06
3231,1.0337151524787206e-06
3232,1.0335243254644864e-06
3233,1.033333860507398e-06
3234,1.0331437581153168e-06
3235,1.0329540187952381e-06
3236,1.0327646430532956e-06
3237,1.0325756313947577e-06
3238,1.0323869843240298e-06
3239,1.0321987023446526e-06
3240,1.0320107859593034e-06
3241,1.031823235669796e-06
3242,1.0316360519770794e-06
3243,1.0314492353812395e-06
3244,1.0312627863814978e-06
3245,1.0310767054762128e-06
3246,1.0308909931628779e-06
3247,1.0307056499381237e-06
3248,1.0305206762977162e-06
3249,1.030336072736558e-06
3250,1.0301518397486873e-06
3251,1.0299679778272796e-06
3252,1.0297844874646448e-06
3253,1.0296013691522305e-06
3254,1.0294186233806193e-06
3255,1.0292362506395309e-06
3256,1.0290542514178202e-06
3257,1.028872626203479e-06
3258,1.0286913754836346e-06
3259,1.028510499744551e-06
3260,1.0283299994716278e-06
3261,1.0281498751494013e-06
3262,1.0279701272615435e-06
3263,1.0277907562908627e-06
3264,1.027611762719303e-06
3265,1.0274331470279455e-06
3266,1.027254909697006e-06
3267,1.027077051205838e-06
3268,1.0268995720329303e-06
3269,1.0267224726559078e-06
3270,1.0265457535515312e-06
3271,1.0263694151956986e-06
3272,1.0261934580634432e-06
3273,1.0260178826289345e-06
3274,1.0258426893654781e-06
3275,1.025667878745516e-06
3276,1.0254934512406258e-06
3277,1.0253194073215222e-06
3278,1.0251457474580548e-06
3279,1.02497247211921e-06
3280,1.0247995817731107e-06
3281,1.0246270768870153e-06
3282,1.0244549579273184e-06
3283,1.0242832253595512e-06
3284,1.0241118796483803e-06
3285,1.0239409212576091e-06
3286,1.0237703506501768e-06
3287,1.0236001682881585e-06
3288,1.0234303746327663e-06
3289,1.0232609701443474e-06
3290,1.0230919552823857e-06
3291,1.0229233305055013e-06
3292,1.02275509627145e-06
3293,1.0225872530371242e-06
3294,1.0224198012585518e-06
3295,1.0222527413908978e-06
3296,1.022086073888462e-06
3297,1.021919799204682e-06
3298,1.0217539177921303e-06
3299,1.0215884301025156e-06
3300,1.021423336586683e-06
3301,1.0212586376946143e-06
