T,Pro
53051,9.45048040600916e-06
53052,9.45051513489726e-06
53053,9.450550513038527e-06
53054,9.450586541246671e-06
53055,9.450623220335388e-06
53056,9.450660551118387e-06
53057,9.450698534409374e-06
53058,9.450737171022054e-06
53059,9.450776461770132e-06
53060,9.450816407467313e-06
53061,9.450857008927304e-06
53062,9.45089826696381e-06
53063,9.450940182390533e-06
53064,9.45098275602118e-06
53065,9.45102598866946e-06
53066,9.451069881149076e-06
53067,9.451114434273731e-06
53068,9.451159648857129e-06
53069,9.45120552571298e-06
53070,9.45125206565499e-06
53071,9.451299269496857e-06
53072,9.451347138052293e-06
53073,9.451395672135001e-06
53074,9.451444872558688e-06
53075,9.451494740137057e-06
53076,9.451545275683814e-06
53077,9.451596480012663e-06
53078,9.451648353937312e-06
53079,9.451700898271464e-06
53080,9.451754113828827e-06
53081,9.451808001423104e-06
53082,9.451862561867999e-06
53083,9.451917795977221e-06
53084,9.451973704564474e-06
53085,9.452030288443459e-06
53086,9.452087548427889e-06
53087,9.452145485331465e-06
53088,9.452204099967892e-06
53089,9.452263393150874e-06
53090,9.45232336569412e-06
53091,9.452384018411332e-06
53092,9.452445352116219e-06
53093,9.452507367622481e-06
53094,9.452570065743829e-06
53095,9.452633447293963e-06
53096,9.452697513086593e-06
53097,9.45276226393542e-06
53098,9.452827700654154e-06
53099,9.452893824056494e-06
53100,9.452960634956153e-06
53101,9.45302813416683e-06
53102,9.453096322502233e-06
53103,9.453165200776067e-06
53104,9.453234769802037e-06
53105,9.45330503039385e-06
53106,9.45337598336521e-06
53107,9.45344762952982e-06
53108,9.453519969701386e-06
53109,9.453593004693616e-06
53110,9.453666735320212e-06
53111,9.453741162394884e-06
53112,9.453816286731337e-06
53113,9.453892109143266e-06
53114,9.45396863044439e-06
53115,9.454045851448409e-06
53116,9.454123772969024e-06
53117,9.454202395819945e-06
53118,9.454281720814874e-06
53119,9.454361748767522e-06
53120,9.454442480491591e-06
53121,9.454523916800783e-06
53122,9.454606058508808e-06
53123,9.45468890642937e-06
53124,9.454772461376175e-06
53125,9.454856724162925e-06
53126,9.45494169560333e-06
53127,9.455027376511089e-06
53128,9.455113767699912e-06
53129,9.455200869983504e-06
53130,9.45528868417557e-06
53131,9.455377211089816e-06
53132,9.455466451539947e-06
53133,9.455556406339663e-06
53134,9.455647076302676e-06
53135,9.45573846224269e-06
53136,9.45583056497341e-06
53137,9.455923385308537e-06
53138,9.456016924061784e-06
53139,9.45611118204685e-06
53140,9.456206160077439e-06
53141,9.456301858967268e-06
53142,9.456398279530028e-06
53143,9.456495422579431e-06
53144,9.456593288929182e-06
53145,9.45669187939299e-06
53146,9.456791194784551e-06
53147,9.45689123591758e-06
53148,9.456992003605774e-06
53149,9.457093498662843e-06
53150,9.457195721902492e-06
53151,9.457298674138425e-06
53152,9.457402356184348e-06
53153,9.457506768853965e-06
53154,9.457611912960987e-06
53155,9.45771778931911e-06
53156,9.457824398742048e-06
53157,9.457931742043498e-06
53158,9.458039820037172e-06
53159,9.458148633536771e-06
53160,9.458258183356006e-06
53161,9.45836847030858e-06
53162,9.45847949520819e-06
53163,9.458591258868554e-06
53164,9.458703762103366e-06
53165,9.45881700572634e-06
53166,9.458930990551178e-06
53167,9.459045717391587e-06
53168,9.459161187061266e-06
53169,9.459277400373927e-06
53170,9.459394358143274e-06
53171,9.459512061183012e-06
53172,9.459630510306844e-06
53173,9.459749706328478e-06
53174,9.459869650061616e-06
53175,9.45999034231997e-06
53176,9.460111783917235e-06
53177,9.46023397566713e-06
53178,9.460356918383345e-06
53179,9.460480612879595e-06
53180,9.460605059969583e-06
53181,9.460730260467015e-06
53182,9.460856215185594e-06
53183,9.460982924939032e-06
53184,9.461110390541023e-06
53185,9.46123861280528e-06
53186,9.461367592545509e-06
53187,9.461497330575412e-06
53188,9.461627827708693e-06
53189,9.461759084759061e-06
53190,9.461891102540222e-06
53191,9.462023881865876e-06
53192,9.462157423549355e-06
53193,9.462291727656355e-06
53194,9.46242679194297e-06
53195,9.462562613720672e-06
53196,9.462699190300936e-06
53197,9.462836518995224e-06
53198,9.46297459711502e-06
53199,9.46311342197179e-06
53200,9.463252990877004e-06
53201,9.463393301142141e-06
53202,9.463534350078666e-06
53203,9.463676134998061e-06
53204,9.463818653211788e-06
53205,9.463961902031328e-06
53206,9.464105878768143e-06
53207,9.464250580733714e-06
53208,9.464396005239513e-06
53209,9.464542149597007e-06
53210,9.464689011117671e-06
53211,9.464836587112976e-06
53212,9.464984874894396e-06
53213,9.465133871773401e-06
53214,9.465283575061467e-06
53215,9.465433982070066e-06
53216,9.465585090110665e-06
53217,9.465736896494743e-06
53218,9.465889398533766e-06
53219,9.466042593539209e-06
53220,9.466196478822546e-06
53221,9.466351051695246e-06
53222,9.466506309468786e-06
53223,9.466662249454635e-06
53224,9.46681886896426e-06
53225,9.466976165309144e-06
53226,9.467134135800753e-06
53227,9.46729277775056e-06
53228,9.467452088470034e-06
53229,9.467612065270655e-06
53230,9.467772705463888e-06
53231,9.46793400636121e-06
53232,9.468095965274088e-06
53233,9.468258579514004e-06
53234,9.468421846392417e-06
53235,9.46858576322081e-06
53236,9.468750327310649e-06
53237,9.468915535973412e-06
53238,9.469081386520568e-06
53239,9.469247876263586e-06
53240,9.469415002513944e-06
53241,9.469582762583108e-06
53242,9.469751153782558e-06
53243,9.469920173423759e-06
53244,9.470089818818188e-06
53245,9.470260087277316e-06
53246,9.470430976112614e-06
53247,9.470602482635558e-06
53248,9.470774604157613e-06
53249,9.470947337990257e-06
53250,9.471120681444961e-06
53251,9.471294631833197e-06
53252,9.47146918646644e-06
53253,9.471644342656155e-06
53254,9.471820097713824e-06
53255,9.47199644895091e-06
53256,9.472173393678893e-06
53257,9.472350929209237e-06
53258,9.472529052853423e-06
53259,9.472707761922918e-06
53260,9.472887053729195e-06
53261,9.473066925583726e-06
53262,9.473247374797986e-06
53263,9.473428398683444e-06
53264,9.473609994551573e-06
53265,9.473792159713846e-06
53266,9.473974891481735e-06
53267,9.474158187166709e-06
53268,9.474342044080248e-06
53269,9.474526459533817e-06
53270,9.474711430838892e-06
53271,9.474896955306945e-06
53272,9.475083030249448e-06
53273,9.475269652977868e-06
53274,9.475456820803687e-06
53275,9.475644531038372e-06
53276,9.47583278099339e-06
53277,9.476021567980224e-06
53278,9.476210889310338e-06
53279,9.47640074229521e-06
53280,9.476591124246308e-06
53281,9.476782032475104e-06
53282,9.476973464293074e-06
53283,9.477165417011685e-06
53284,9.477357887942415e-06
53285,9.477550874396733e-06
53286,9.477744373686116e-06
53287,9.477938383122028e-06
53288,9.478132900015945e-06
53289,9.478327921679341e-06
53290,9.478523445423687e-06
53291,9.478719468560452e-06
53292,9.478915988401116e-06
53293,9.479113002257144e-06
53294,9.479310507440013e-06
53295,9.479508501261191e-06
53296,9.479706981032155e-06
53297,9.47990594406437e-06
53298,9.480105387669316e-06
53299,9.480305309158462e-06
53300,9.48050570584328e-06
53301,9.480706575035245e-06
53302,9.480907914045823e-06
53303,9.481109720186495e-06
53304,9.481311990768726e-06
53305,9.48151472310399e-06
53306,9.481717914503759e-06
53307,9.481921562279509e-06
53308,9.482125663742705e-06
53309,9.482330216204827e-06
53310,9.482535216977342e-06
53311,9.482740663371724e-06
53312,9.48294655269945e-06
53313,9.483152882271982e-06
53314,9.483359649400805e-06
53315,9.483566851397376e-06
53316,9.483774485573182e-06
53317,9.483982549239685e-06
53318,9.484191039708361e-06
53319,9.484399954290684e-06
53320,9.48460929029812e-06
53321,9.484819045042152e-06
53322,9.485029215834242e-06
53323,9.485239799985866e-06
53324,9.4854507948085e-06
53325,9.485662197613609e-06
53326,9.48587400571267e-06
53327,9.486086216417152e-06
53328,9.486298827038532e-06
53329,9.486511834888277e-06
53330,9.486725237277866e-06
53331,9.486939031518766e-06
53332,9.487153214922448e-06
53333,9.487367784800393e-06
53334,9.48758273846406e-06
53335,9.487798073224933e-06
53336,9.488013786394477e-06
53337,9.488229875284165e-06
53338,9.488446337205473e-06
53339,9.488663169469871e-06
53340,9.488880369388829e-06
53341,9.489097934273826e-06
53342,9.489315861436328e-06
53343,9.489534148187807e-06
53344,9.489752791839744e-06
53345,9.489971789703595e-06
53346,9.49019113909085e-06
53347,9.49041083731297e-06
53348,9.490630881681429e-06
53349,9.490851269507702e-06
53350,9.491071998103263e-06
53351,9.491293064779576e-06
53352,9.491514466848122e-06
53353,9.491736201620368e-06
53354,9.49195826640779e-06
53355,9.492180658521856e-06
53356,9.492403375274041e-06
53357,9.492626413975817e-06
53358,9.492849771938654e-06
53359,9.49307344647403e-06
53360,9.49329743489341e-06
53361,9.493521734508273e-06
53362,9.493746342630083e-06
53363,9.493971256570322e-06
53364,9.494196473640457e-06
53365,9.49442199115196e-06
53366,9.494647806416302e-06
53367,9.494873916744959e-06
53368,9.4951003194494e-06
53369,9.495327011841098e-06
53370,9.495553991231529e-06
53371,9.495781254932161e-06
53372,9.496008800254466e-06
53373,9.496236624509919e-06
53374,9.496464725009992e-06
53375,9.496693099066154e-06
53376,9.496921743989881e-06
53377,9.497150657092642e-06
53378,9.497379835685913e-06
53379,9.497609277081162e-06
53380,9.497838978589866e-06
53381,9.498068937523492e-06
53382,9.498299151193518e-06
53383,9.49852961691141e-06
53384,9.498760331988646e-06
53385,9.498991293736696e-06
53386,9.49922249946703e-06
53387,9.499453946491121e-06
53388,9.499685632120445e-06
53389,9.499917553666471e-06
53390,9.50014970844067e-06
53391,9.50038209375452e-06
53392,9.500614706919488e-06
53393,9.500847545247047e-06
53394,9.501080606048672e-06
53395,9.50131388663583e-06
53396,9.50154738432e-06
53397,9.501781096412647e-06
53398,9.502015020225247e-06
53399,9.502249153069273e-06
53400,9.502483492256199e-06
53401,9.502718035097492e-06
53402,9.50295277890463e-06
53403,9.503187720989078e-06
53404,9.503422858662316e-06
53405,9.503658189235809e-06
53406,9.503893710021038e-06
53407,9.504129418329466e-06
53408,9.504365311472569e-06
53409,9.504601386761823e-06
53410,9.504837641508694e-06
53411,9.505074073024659e-06
53412,9.505310678621187e-06
53413,9.505547455609753e-06
53414,9.505784401301831e-06
53415,9.506021513008887e-06
53416,9.506258788042392e-06
53417,9.50649622371383e-06
53418,9.506733817334663e-06
53419,9.506971566216365e-06
53420,9.507209467670413e-06
53421,9.50744751900827e-06
53422,9.50768571754142e-06
53423,9.507924060581328e-06
53424,9.508162545439464e-06
53425,9.508401169427306e-06
53426,9.508639929856323e-06
53427,9.50887882403799e-06
53428,9.509117849283775e-06
53429,9.509357002905153e-06
53430,9.509596282213599e-06
53431,9.509835684520578e-06
53432,9.510075207137571e-06
53433,9.510314847376044e-06
53434,9.510554602547472e-06
53435,9.510794469963323e-06
53436,9.511034446935075e-06
53437,9.511274530774195e-06
53438,9.511514718792161e-06
53439,9.511755008300441e-06
53440,9.511995396610505e-06
53441,9.512235881033835e-06
53442,9.512476458881892e-06
53443,9.512717127466157e-06
53444,9.512957884098099e-06
53445,9.513198726089189e-06
53446,9.513439650750895e-06
53447,9.5136806553947e-06
53448,9.513921737332067e-06
53449,9.514162893874473e-06
53450,9.514404122333388e-06
53451,9.514645420020284e-06
53452,9.514886784246638e-06
53453,9.515128212323919e-06
53454,9.515369701563598e-06
53455,9.515611249277145e-06
53456,9.51585285277604e-06
53457,9.516094509371747e-06
53458,9.516336216375745e-06
53459,9.516577971099501e-06
53460,9.51681977085449e-06
53461,9.517061612952186e-06
53462,9.517303494704054e-06
53463,9.517545413421579e-06
53464,9.517787366416219e-06
53465,9.518029350999454e-06
53466,9.518271364482754e-06
53467,9.518513404177596e-06
53468,9.518755467395446e-06
53469,9.51899755144778e-06
53470,9.519239653646064e-06
53471,9.519481771301782e-06
53472,9.519723901726396e-06
53473,9.519966042231383e-06
53474,9.520208190128213e-06
53475,9.520450342728361e-06
53476,9.520692497343296e-06
53477,9.520934651284489e-06
53478,9.52117680186342e-06
53479,9.521418946391556e-06
53480,9.521661082180364e-06
53481,9.521903206541323e-06
53482,9.522145316785909e-06
53483,9.522387410225586e-06
53484,9.522629484171829e-06
53485,9.522871535936113e-06
53486,9.523113562829904e-06
53487,9.523355562164684e-06
53488,9.523597531251915e-06
53489,9.523839467403075e-06
53490,9.524081367929634e-06
53491,9.524323230143067e-06
53492,9.524565051354843e-06
53493,9.524806828876437e-06
53494,9.525048560019322e-06
53495,9.525290242094965e-06
53496,9.525531872414842e-06
53497,9.525773448290423e-06
53498,9.526014967033186e-06
53499,9.526256425954596e-06
53500,9.52649782236613e-06
53501,9.526739153579259e-06
53502,9.526980416905455e-06
53503,9.527221609656189e-06
53504,9.527462729142935e-06
53505,9.527703772677165e-06
53506,9.52794473757035e-06
53507,9.528185621133963e-06
53508,9.528426420679479e-06
53509,9.528667133518366e-06
53510,9.528907756962097e-06
53511,9.52914828832215e-06
53512,9.529388724909988e-06
53513,9.52962906403709e-06
53514,9.52986930301492e-06
53515,9.530109439154965e-06
53516,9.530349469768682e-06
53517,9.530589392167554e-06
53518,9.530829203663046e-06
53519,9.531068901566634e-06
53520,9.53130848318979e-06
53521,9.531547945843986e-06
53522,9.531787286840696e-06
53523,9.53202650349139e-06
53524,9.532265593107536e-06
53525,9.532504553000613e-06
53526,9.532743380482091e-06
53527,9.53298207286344e-06
53528,9.533220627456139e-06
53529,9.533459041571653e-06
53530,9.533697312521457e-06
53531,9.533935437617025e-06
53532,9.534173414169828e-06
53533,9.534411239491337e-06
53534,9.534648910893023e-06
53535,9.53488642568636e-06
53536,9.535123781182823e-06
53537,9.53536097469388e-06
53538,9.535598003531004e-06
53539,9.535834865005674e-06
53540,9.536071556429349e-06
53541,9.536308075113512e-06
53542,9.536544418369637e-06
53543,9.536780583509183e-06
53544,9.537016567843636e-06
53545,9.53725236868446e-06
53546,9.53748798334313e-06
53547,9.537723409131118e-06
53548,9.537958643359898e-06
53549,9.53819368334094e-06
53550,9.538428526385718e-06
53551,9.5386631698057e-06
53552,9.538897610912372e-06
53553,9.539131847017185e-06
53554,9.53936587543162e-06
53555,9.53959969346716e-06
53556,9.539833298435262e-06
53557,9.540066687647409e-06
53558,9.540299858415069e-06
53559,9.54053280804971e-06
53560,9.540765533862811e-06
53561,9.540998033165843e-06
53562,9.541230303270275e-06
53563,9.541462341487585e-06
53564,9.541694145129238e-06
53565,9.541925711506711e-06
53566,9.542157037931474e-06
53567,9.542388121714998e-06
53568,9.542618960168763e-06
53569,9.54284955060423e-06
53570,9.543079890332881e-06
53571,9.543309976666183e-06
53572,9.543539806915613e-06
53573,9.543769378392638e-06
53574,9.54399868840873e-06
53575,9.54422773427536e-06
53576,9.544456513304009e-06
53577,9.544685022806144e-06
53578,9.544913260093231e-06
53579,9.545141222476754e-06
53580,9.545368907268177e-06
53581,9.545596311778975e-06
53582,9.545823433320623e-06
53583,9.546050269204589e-06
53584,9.546276816742346e-06
53585,9.546503073245364e-06
53586,9.54672903602512e-06
53587,9.546954702393087e-06
53588,9.547180069660731e-06
53589,9.547405135139526e-06
53590,9.547629896140952e-06
53591,9.54785434997647e-06
53592,9.548078493957562e-06
53593,9.548302325395693e-06
53594,9.54852584160234e-06
53595,9.548749039888972e-06
53596,9.54897191756706e-06
53597,9.549194471948081e-06
53598,9.549416700343504e-06
53599,9.549638600064804e-06
53600,9.54986016842345e-06
53601,9.550081402730919e-06
53602,9.550302300298678e-06
53603,9.5505228584382e-06
53604,9.550743074460958e-06
